review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000010,ORD-20251029-210175,CUST-10218,REST-DXB-001,Best Indian food in UAE! Masala Chai  Chicken Seekh Kebab  and Chole Bhature were incredible. Chole Bhature had the perfect balance of spices. Five stars!,5,2025-11-02T21:24:01.204298
REV-000012,ORD-20251102-362473,CUST-10253,REST-AUH-001,Exceptional quality! Ordered Lamb Rogan Josh  Butter Chicken  Garlic Naan  Chicken Biryani  and Butter Naan and everything was delicious. The Butter Naan melted in my mouth. Perfect!,5,2025-11-04T11:34:00.204298
REV-000013,ORD-20251109-979549,CUST-10069,REST-AUH-001,Unsatisfactory. Fresh Lime Soda were not fresh. Fresh Lime Soda tasted reheated. Won't order again.,2,2025-11-10T22:30:16.204298
REV-000014,ORD-20251111-229455,CUST-10249,REST-AUH-001,It was okay. Butter Naan and Gulab Jamun (2 pcs) arrived lukewarm. Butter Naan tasted fine but could be better.,3,2025-11-12T11:10:15.204298
REV-000015,ORD-20251113-225589,CUST-10281,REST-AUH-002,Really good Masala Chai! The Masala Chai was delicious. Slight delay in delivery but food quality made up for it.,4,2025-11-15T11:11:19.204298
REV-000016,ORD-20251118-495576,CUST-10422,REST-DXB-001,Not good. Masala Chai  Malai Kofta  Mango Lassi  Gajar Halwa  and Aloo Tikki Chaat arrived late and cold. Masala Chai had barely any flavor. Poor quality.,2,2025-11-24T18:43:37.204298
REV-000017,ORD-20251120-111469,CUST-10187,REST-SHJ-001,Good quality food. Chicken Seekh Kebab and Samosa (2 pcs) were nicely done. Samosa (2 pcs) could have been slightly spicier but still good!,4,2025-11-24T21:30:21.204298
REV-000018,ORD-20251124-302211,CUST-10478,REST-AUH-001,Exceptional quality! Ordered Paneer Tikka  Mango Lassi  Garlic Naan  Jeera Rice  and Chole Bhature and everything was delicious. The Mango Lassi melted in my mouth. Perfect!,5,2025-11-29T20:28:12.204298
REV-000019,ORD-20251204-881557,CUST-10107,REST-DXB-002,Absolutely amazing Gajar Halwa  Gulab Jamun (2 pcs)  and Paneer Butter Masala! The Gulab Jamun (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-11T13:32:16.204298
REV-000022,ORD-20251214-724825,CUST-10251,REST-DXB-001,Outstanding experience! The Naan  Kulfi  Fresh Lime Soda  and Rasmalai (2 pcs) exceeded all expectations. Kulfi was the star of the meal. Will definitely order again!,5,2025-12-15T16:53:29.204298
REV-000020,ORD-20251208-248313,CUST-10352,REST-SHJ-001,Very satisfied! Mango Lassi  Tandoori Roti  Rasmalai (2 pcs)  and Gajar Halwa were fresh and flavorful. Tandoori Roti was the standout dish.,4,2025-12-15T20:54:33.204298
REV-000021,ORD-20251213-728827,CUST-10495,REST-AUH-002,Worst food ever! Garlic Naan  Samosa (2 pcs)  Chicken Biryani  Butter Naan  and Paneer Butter Masala were all wrong. Garlic Naan made me sick. Never ordering again!,1,2025-12-17T20:00:03.204298
REV-000023,ORD-20251215-830812,CUST-10240,REST-AUH-001,Really good Chicken Seekh Kebab  Gajar Halwa  Lamb Rogan Josh  Chicken 65  and Chicken Tikka Masala! The Gajar Halwa was delicious. Slight delay in delivery but food quality made up for it.,4,2025-12-20T21:10:04.204298
REV-000024,ORD-20251222-977425,CUST-10402,REST-SHJ-001,It was okay. Naan  Jeera Rice  Fish Curry  and Fresh Lime Soda arrived lukewarm. Fresh Lime Soda tasted fine but could be better.,3,2025-12-27T11:24:33.204298
REV-000025,ORD-20251229-423883,CUST-10494,REST-SHJ-001,Really good Chicken Biryani  Lamb Rogan Josh  Butter Naan  and Chicken Tikka Masala! The Lamb Rogan Josh was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-02T21:05:18.204298
REV-000026,ORD-20251231-470450,CUST-10104,REST-DXB-002,Incredible meal! Naan  Lamb Rogan Josh  and Paneer Butter Masala arrived hot and fresh. The Lamb Rogan Josh was absolutely divine. Highly satisfied!,5,2026-01-06T17:22:22.204298
REV-000027,ORD-20260108-405981,CUST-10482,REST-DXB-002,Perfect in every way! Gulab Jamun (2 pcs) and Masala Chai were all excellent. Masala Chai stood out with its rich  authentic taste.,5,2026-01-14T13:15:11.204298
REV-000028,ORD-20260110-203688,CUST-10070,REST-SHJ-001,Hands down the best Tandoori Roti I've ever had! Tandoori Roti  Gulab Jamun (2 pcs)  and Fresh Lime Soda were all prepared beautifully. Fresh and flavorful!,5,2026-01-14T15:19:39.204298
REV-000029,ORD-20260110-943930,CUST-10403,REST-DXB-001,Really good Tandoori Roti  Chicken Biryani  and Paneer Tikka! The Paneer Tikka was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-14T16:21:49.204298
REV-000033,ORD-20260120-196703,CUST-10001,REST-AUH-001,Outstanding experience! The Palak Paneer  Chicken 65  Gulab Jamun (2 pcs)  Gajar Halwa  and Jeera Rice exceeded all expectations. Jeera Rice was the star of the meal. Will definitely order again!,5,2026-01-21T16:27:42.204298
REV-000030,ORD-20260116-812223,CUST-10455,REST-DXB-001,Best Indian food in UAE! Naan  Mango Lassi  and Gulab Jamun (2 pcs) were incredible. Mango Lassi had the perfect balance of spices. Five stars!,5,2026-01-21T21:22:19.204298
REV-000031,ORD-20260116-680936,CUST-10271,REST-DXB-001,Unsatisfactory. Chicken Tikka Masala were not fresh. Chicken Tikka Masala tasted reheated. Won't order again.,2,2026-01-22T21:46:09.204298
REV-000032,ORD-20260118-483851,CUST-10045,REST-AUH-002,Best Indian food in UAE! Vegetable Biryani  Fresh Lime Soda  Butter Chicken  and Samosa (2 pcs) were incredible. Vegetable Biryani had the perfect balance of spices. Five stars!,5,2026-01-24T11:18:30.204298
REV-000034,ORD-20260121-939090,CUST-10453,REST-AUH-001,Mediocre. Naan  Lamb Rogan Josh  Chicken Tikka Masala  Sweet Lassi  and Jeera Rice were fine but forgettable. Naan didn't stand out.,3,2026-01-24T15:44:48.204298
REV-000035,ORD-20260123-928564,CUST-10146,REST-AUH-002,Expected better. Naan and Butter Naan were subpar. Naan was too oily and greasy. Stomach upset followed.,2,2026-01-24T20:31:59.204298
REV-000036,ORD-20260125-228389,CUST-10332,REST-DXB-001,Incredible meal! Paneer Tikka  Naan  Rasmalai (2 pcs)  and Vegetable Biryani arrived hot and fresh. The Vegetable Biryani was absolutely divine. Highly satisfied!,5,2026-01-29T15:47:23.204298
REV-000037,ORD-20260126-112052,CUST-10266,REST-DXB-002,Enjoyed the Naan  Chole Bhature  and Gajar Halwa! Naan was very good. Portion sizes were generous. Recommend!,4,2026-01-30T14:56:26.204298
REV-000038,ORD-20260204-208770,CUST-10081,REST-SHJ-001,Perfect in every way! Butter Naan  Aloo Tikki Chaat  and Naan were all excellent. Butter Naan stood out with its rich  authentic taste.,5,2026-02-09T20:55:48.204298
REV-000039,ORD-20260210-812098,CUST-10044,REST-DXB-001,Incredible meal! Gulab Jamun (2 pcs)  Paneer Butter Masala  Palak Paneer  Naan  and Fish Curry arrived hot and fresh. The Gulab Jamun (2 pcs) was absolutely divine. Highly satisfied!,5,2026-02-12T11:31:00.204298
REV-000043,ORD-20260212-171779,CUST-10182,REST-DXB-001,It was okay. Tandoori Roti  Garlic Naan  and Aloo Tikki Chaat arrived lukewarm. Garlic Naan tasted fine but could be better.,3,2026-02-13T20:51:59.204298
REV-000040,ORD-20260210-526913,CUST-10357,REST-DXB-002,Shocking! Jeera Rice  Gulab Jamun (2 pcs)  and Malai Kofta bore no resemblance to the menu description. Jeera Rice was inedible. Refund demanded!,1,2026-02-16T22:01:00.204298
REV-000042,ORD-20260211-760754,CUST-10480,REST-SHJ-001,Expected better. Paneer Tikka  Mango Lassi  and Malai Kofta were subpar. Paneer Tikka was too oily and greasy. Stomach upset followed.,2,2026-02-16T22:20:33.204298
REV-000041,ORD-20260211-959064,CUST-10053,REST-DXB-002,Hands down the best Naan I've ever had! Fish Curry  Naan  and Jeera Rice were all prepared beautifully. Fresh and flavorful!,5,2026-02-17T15:59:39.204298
REV-000045,ORD-20260215-937353,CUST-10195,REST-DXB-001,Outstanding experience! The Palak Paneer  Lamb Rogan Josh  and Rasmalai (2 pcs) exceeded all expectations. Palak Paneer was the star of the meal. Will definitely order again!,5,2026-02-20T17:27:54.204298
REV-000044,ORD-20260215-396611,CUST-10156,REST-AUH-001,Disaster! Butter Chicken were all stale. Butter Chicken had a weird smell. Completely unacceptable!,1,2026-02-22T15:50:48.204298
REV-000047,ORD-20260219-896225,CUST-10025,REST-DXB-002,Incredible meal! Gajar Halwa  Paneer Butter Masala  Samosa (2 pcs)  Tandoori Roti  and Chicken Seekh Kebab arrived hot and fresh. The Gajar Halwa was absolutely divine. Highly satisfied!,5,2026-02-22T19:45:29.204298
REV-000046,ORD-20260217-735262,CUST-10483,REST-SHJ-001,Wow! Just wow! Chicken Biryani  Gulab Jamun (2 pcs)  and Paneer Butter Masala were all fantastic. Chicken Biryani was particularly memorable. Can't wait to order again!,5,2026-02-23T16:12:48.204298
REV-000049,ORD-20260223-575333,CUST-10349,REST-SHJ-001,Wow! Just wow! Paneer Butter Masala were all fantastic. Paneer Butter Masala was particularly memorable. Can't wait to order again!,5,2026-02-25T13:08:25.204298
REV-000048,ORD-20260219-218239,CUST-10335,REST-DXB-001,Very satisfied! Fresh Lime Soda were fresh and flavorful. Fresh Lime Soda was the standout dish.,4,2026-02-25T21:21:26.204298
REV-000050,ORD-20260224-923334,CUST-10220,REST-DXB-001,Disaster! Butter Naan were all stale. Butter Naan had a weird smell. Completely unacceptable!,1,2026-03-01T15:06:03.204298
REV-000052,ORD-20260301-293470,CUST-10201,REST-DXB-001,Incredible meal! Fresh Lime Soda  Rasmalai (2 pcs)  Fish Curry  Kulfi  and Sweet Lassi arrived hot and fresh. The Fish Curry was absolutely divine. Highly satisfied!,5,2026-03-03T12:39:48.204298
REV-000051,ORD-20260227-139761,CUST-10386,REST-AUH-001,Best Indian food in UAE! Fish Curry  Dal Makhani  Malai Kofta  and Fresh Lime Soda were incredible. Malai Kofta had the perfect balance of spices. Five stars!,5,2026-03-05T19:08:09.204298
REV-000053,ORD-20260304-487316,CUST-10015,REST-DXB-002,Hands down the best Palak Paneer I've ever had! Palak Paneer were all prepared beautifully. Fresh and flavorful!,5,2026-03-06T16:46:19.204298
REV-000054,ORD-20260307-794494,CUST-10484,REST-SHJ-001,Incredible meal! Vegetable Biryani  Kulfi  and Lamb Rogan Josh arrived hot and fresh. The Vegetable Biryani was absolutely divine. Highly satisfied!,5,2026-03-08T11:36:13.204298
REV-000055,ORD-20260308-127636,CUST-10009,REST-SHJ-001,Best Indian food in UAE! Palak Paneer were incredible. Palak Paneer had the perfect balance of spices. Five stars!,5,2026-03-10T12:45:16.204298
REV-000059,ORD-20260314-868369,CUST-10348,REST-AUH-002,Unsatisfactory. Jeera Rice  Aloo Tikki Chaat  Gajar Halwa  Chicken Tikka Masala  and Mango Lassi were not fresh. Aloo Tikki Chaat tasted reheated. Won't order again.,2,2026-03-16T10:16:27.204298
REV-000056,ORD-20260312-904644,CUST-10468,REST-SHJ-001,Great food overall. Chicken 65 were tasty  especially the Chicken 65. Would order again!,4,2026-03-16T17:14:38.204298
REV-000057,ORD-20260312-246566,CUST-10059,REST-AUH-002,Mediocre. Samosa (2 pcs)  Lamb Rogan Josh  Masala Chai  Rasmalai (2 pcs)  and Palak Paneer were fine but forgettable. Lamb Rogan Josh didn't stand out.,3,2026-03-17T18:27:33.204298
REV-000061,ORD-20260317-390448,CUST-10023,REST-AUH-002,Good quality food. Fresh Lime Soda  Chicken 65  Sweet Lassi  and Lamb Rogan Josh were nicely done. Chicken 65 could have been slightly spicier but still good!,4,2026-03-18T14:52:05.204298
REV-000058,ORD-20260312-479688,CUST-10426,REST-SHJ-001,Wow! Just wow! Chicken Tikka Masala were all fantastic. Chicken Tikka Masala was particularly memorable. Can't wait to order again!,5,2026-03-18T22:39:57.204298
REV-000060,ORD-20260317-296335,CUST-10447,REST-DXB-002,Disappointed with Jeera Rice  Palak Paneer  Dal Makhani  Samosa (2 pcs)  and Vegetable Biryani. Samosa (2 pcs) was cold when it arrived. Not worth the money.,2,2026-03-20T10:07:34.204298
REV-000063,ORD-20260319-711820,CUST-10484,REST-SHJ-001,Enjoyed the Dal Makhani  Garlic Naan  Naan  Aloo Tikki Chaat  and Lamb Rogan Josh! Dal Makhani was very good. Portion sizes were generous. Recommend!,4,2026-03-20T15:56:35.204298
REV-000062,ORD-20260318-299824,CUST-10356,REST-AUH-001,Mediocre. Gajar Halwa  Vegetable Biryani  Paneer Butter Masala  and Chicken Tikka Masala were fine but forgettable. Chicken Tikka Masala didn't stand out.,3,2026-03-22T10:45:33.204298
REV-000064,ORD-20260320-861818,CUST-10039,REST-DXB-001,Not good. Tandoori Roti and Chicken 65 arrived late and cold. Chicken 65 had barely any flavor. Poor quality.,2,2026-03-22T10:50:03.204298
REV-000066,ORD-20260326-941912,CUST-10440,REST-DXB-001,Wow! Just wow! Samosa (2 pcs)  Malai Kofta  Tandoori Roti  and Paneer Butter Masala were all fantastic. Tandoori Roti was particularly memorable. Can't wait to order again!,5,2026-03-27T17:57:52.204298
REV-000065,ORD-20260322-801406,CUST-10247,REST-AUH-002,Incredible meal! Masala Chai  Kulfi  Garlic Naan  and Paneer Butter Masala arrived hot and fresh. The Garlic Naan was absolutely divine. Highly satisfied!,5,2026-03-29T21:27:09.204298
REV-000070,ORD-20260402-295446,CUST-10007,REST-AUH-002,Hands down the best Kulfi I've ever had! Kulfi and Fish Curry were all prepared beautifully. Fresh and flavorful!,5,2026-04-06T22:31:14.204298
REV-000067,ORD-20260401-666332,CUST-10167,REST-AUH-001,Hands down the best Chicken Tikka Masala I've ever had! Palak Paneer  Butter Naan  and Chicken Tikka Masala were all prepared beautifully. Fresh and flavorful!,5,2026-04-07T18:30:33.204298
REV-000068,ORD-20260402-813797,CUST-10056,REST-AUH-001,Perfect in every way! Gulab Jamun (2 pcs) and Garlic Naan were all excellent. Garlic Naan stood out with its rich  authentic taste.,5,2026-04-08T10:20:35.204298
REV-000069,ORD-20260402-174090,CUST-10241,REST-SHJ-001,Average experience. Chole Bhature  Chicken Tikka Masala  and Palak Paneer were fine but Palak Paneer was a bit bland. Room for improvement.,3,2026-04-08T14:34:52.204298
REV-000074,ORD-20260410-193068,CUST-10182,REST-DXB-002,Hands down the best Jeera Rice I've ever had! Jeera Rice and Rasmalai (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2026-04-11T10:16:07.204298
REV-000071,ORD-20260409-311267,CUST-10080,REST-AUH-001,Incredible meal! Lamb Rogan Josh  Rasmalai (2 pcs)  Chicken Tikka Masala  and Chicken Biryani arrived hot and fresh. The Chicken Tikka Masala was absolutely divine. Highly satisfied!,5,2026-04-12T11:22:46.204298
REV-000073,ORD-20260409-795416,CUST-10327,REST-SHJ-001,Disappointed with Dal Makhani  Jeera Rice  Gajar Halwa  Chicken Biryani  and Samosa (2 pcs). Samosa (2 pcs) was cold when it arrived. Not worth the money.,2,2026-04-14T17:13:24.204298
REV-000072,ORD-20260409-497582,CUST-10358,REST-SHJ-001,Disaster! Palak Paneer and Mango Lassi were all stale. Palak Paneer had a weird smell. Completely unacceptable!,1,2026-04-16T13:49:32.204298
REV-000075,ORD-20260412-452247,CUST-10491,REST-DXB-001,Wow! Just wow! Garlic Naan  Chicken Biryani  Rasmalai (2 pcs)  Lamb Rogan Josh  and Aloo Tikki Chaat were all fantastic. Aloo Tikki Chaat was particularly memorable. Can't wait to order again!,5,2026-04-19T14:00:25.204298
REV-000076,ORD-20260414-160524,CUST-10031,REST-DXB-001,Mediocre. Garlic Naan  Dal Makhani  Chicken 65  Chole Bhature  and Samosa (2 pcs) were fine but forgettable. Samosa (2 pcs) didn't stand out.,3,2026-04-21T14:42:28.204298
REV-000077,ORD-20260415-317017,CUST-10461,REST-DXB-002,Really good Chicken Biryani! The Chicken Biryani was delicious. Slight delay in delivery but food quality made up for it.,4,2026-04-22T13:37:50.204298
